,name,gross,runtime,budget,score,genre,votes,year,director,rating,released,star,writer,company,gross_bin,month,isweekend
2,The Peanuts Movie,130178411,88,99000000,7.1,Animation,34889,2015,Steve Martino,G,11/6/2015,Noah Schnapp,Craig Schulz,Twentieth Century Fox Film Corporation,4,11,0
4,Rio 2,131538435,101,103000000,6.3,Animation,64550,2014,Carlos Saldanha,G,4/11/2014,Jesse Eisenberg,Don Rhymer,Twentieth Century Fox Film Corporation,4,4,0
5,Monsters University,268492764,104,200000000,7.3,Animation,258992,2013,Dan Scanlon,G,6/21/2013,Billy Crystal,Dan Scanlon,The Walt Disney Company,4,6,0
6,The Secret World of Arrietty,19202743,94,23000000,7.6,Animation,59799,2012,Hiromasa Yonebayashi,G,2/17/2012,Bridgit Mendler,Mary Norton,Studio Ghibli,3,2,0
7,Alvin and the Chipmunks: Chipwrecked,133110742,87,75000000,4.4,Animation,24939,2011,Mike Mitchell,G,12/16/2011,Justin Long,Jonathan Aibel,Fox 2000 Pictures,4,12,0
8,Winnie the Pooh,26692846,100,30000000,7.2,Animation,16941,2011,Stephen J. Anderson,G,7/15/2011,Jim Cummings,Stephen J. Anderson,The Walt Disney Company,3,7,0
9,Cars 2,191452396,106,200000000,6.2,Animation,116477,2011,John Lasseter,G,6/24/2011,Owen Wilson,John Lasseter,The Walt Disney Company,4,6,0
10,Rio,143619809,96,90000000,6.9,Animation,177152,2011,Carlos Saldanha,G,4/15/2011,Jesse Eisenberg,Carlos Saldanha,Twentieth Century Fox Film Corporation,4,4,0
11,Gnomeo & Juliet,99967670,84,36000000,6.0,Animation,45274,2011,Kelly Asbury,G,2/11/2011,James McAvoy,Rob Sprackling,Touchstone Pictures,3,2,0
12,Ramona and Beezus,26161406,100,15000000,6.7,Adventure,14808,2010,Elizabeth Allen Rosenbaum,G,7/23/2010,Joey King,Laurie Craig,Fox 2000 Pictures,3,7,0
13,Toy Story 3,415004880,103,200000000,8.3,Animation,603472,2010,Lee Unkrich,G,6/18/2010,Tom Hanks,John Lasseter,The Walt Disney Company,4,6,0
14,The Princess and the Frog,104400899,97,105000000,7.1,Animation,97887,2009,Ron Clements,G,12/11/2009,Anika Noni Rose,Ron Clements,The Walt Disney Company,4,12,0
15,Ponyo,15090400,101,34000000,7.7,Animation,94663,2009,Hayao Miyazaki,G,8/14/2009,Cate Blanchett,Hayao Miyazaki,Studio Ghibli,3,8,0
16,Hannah Montana: The Movie,79566871,102,30000000,4.3,Comedy,34118,2009,Peter Chelsom,G,4/10/2009,Miley Cyrus,Dan Berendsen,It's a Laugh Productions,3,4,0
17,The Tale of Despereaux,50877145,93,60000000,6.1,Animation,32512,2008,Sam Fell,G,12/19/2008,Matthew Broderick,Kate DiCamillo,Universal Pictures,3,12,0
18,High School Musical 3: Senior Year,90559416,112,11000000,4.6,Comedy,47545,2008,Kenny Ortega,G,10/24/2008,Zac Efron,Peter Barsocchini,The Walt Disney Company,3,10,0
